Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2010 Daihatsu Xenia  Xi DLX VVTi,Rp 60 Juta,"32,812 Km",Bensin,,Kendari,,,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2009-2018-xi-dlx-vvti-638565,oto
2001 Toyota Kijang  1.8L SGX,Rp 33 Juta,"97,649 Km",Bensin,Manual,Kendari,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-638559,oto
2003 Toyota Kijang  1.5L MPV Minivans,Rp 34 Juta,"70,000 Km",Bensin,Manual,Bandar Lampung,7 seat,1500 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1986-1996-1-5l-mpv-minivans-638433,oto
2015 Toyota Agya G TRD 1.0L MT,Rp 60 Juta,"1,561 Km",Bensin,,Bogor,,,https://www.oto.com/detail-mobil-bekas/toyota-agya-g-trd-1-0l-mt-638268,oto
2013 Toyota Agya G TRD 1.0L MT,Rp 45 Juta,"83,000 Km",Bensin,,Bogor,,,https://www.oto.com/detail-mobil-bekas/toyota-agya-g-trd-1-0l-mt-638264,oto
2004 Toyota Avanza 1.3G MT,Rp 58 Juta,"5,704 Km",Bensin,Manual,Palangka Raya,7 seat,1329 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-1-3g-mt-638319,oto
2001 Toyota Kijang  1.8L SGX,Rp 35 Juta,"81,032 Km",Bensin,Manual,Sragen,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-638262,oto
2004 Toyota Avanza  1.5 G AT,Rp 32 Juta,"84,347 Km",Bensin,Otomatis,Surabaya,7 seat,1495 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-2003-2011-2009-1-5-g-at-637636,oto
2010 Toyota Avanza VVT-I G 1.3L MT,Rp 35 Juta,"84,647 Km",Bensin,,Padang,,,https://www.oto.com/detail-mobil-bekas/toyota-avanza-vvt-i-g-1-3l-mt-637796,oto
2009 Honda Jazz  1.5L RS AT,Rp 52 Juta,"67,124 Km",Bensin,Otomatis,Padang,5 seat,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-jazz-2008-2013-1-5l-rs-at-637800,oto
2004 Toyota Avanza G 1.3L MT,Rp 35 Juta,"87,434 Km",Bensin,,Padang,,,https://www.oto.com/detail-mobil-bekas/toyota-avanza-g-1-3l-mt-637798,oto
1997 Toyota Kijang  1.8L LGX,Rp 55 Juta,"300,000 Km",Bensin,Manual,Kampar,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lgx-632409,oto
1995 Toyota Kijang  1.8L MPV Minivans,Rp 50 Juta,"250,000 Km",Bensin,Manual,Kampar,7 seat,1800 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1986-1996-1-8l-mpv-minivans-632410,oto
2000 Toyota Kijang  1.8L SGX,Rp 50 Juta,"198,300 Km",Bensin,Manual,Jakarta Barat,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-615603,oto
2005 Honda Jazz  IDSI A/T,"Rp 58,5 Juta","174,000 Km",Bensin,,Surabaya,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-at-606998,oto
2005 Honda Jazz  IDSI A/T,"Rp 58,5 Juta","170,000 Km",Bensin,,Surabaya,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-at-606034,oto
2000 Toyota Kijang  1.8L LX,Rp 55 Juta,"262,035 Km",Bensin,Manual,Palembang,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lx-600308,oto
2000 Toyota Kijang  1.8L LGX,Rp 60 Juta,"420,000 Km",Bensin,Manual,Manado,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lgx-581112,oto
2007 Honda Jazz  IDSI A/T,Rp 60 Juta,"125,970 Km",Bensin,,Pematang Siantar,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-at-540875,oto
2005 Honda Jazz  IDSI A/T,Rp 53 Juta,"105,000 Km",Bensin,,Jakarta Selatan,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-at-540680,oto
2005 Honda Jazz  IDSI A/T,Rp 53 Juta,"260,000 Km",Bensin,,Bireuen,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-at-541864,oto
2005 Honda Jazz  IDSI A/T,Rp 53 Juta,"120,600 Km",Bensin,,Bogor,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-at-540893,oto
