Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2019 Honda Mobilio E CVT,160000000,58000,Bensin,Cvt,Jakarta Pusat,7,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-e-cvt-620353,oto
2018 Honda Brio IVTEC E 1.2L MT,128000000,58000,Bensin,Unknown,Jakarta Utara,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-brio-ivtec-e-1-2l-mt-618430,oto
2016 Toyota Fortuner  1.5 G AT DIESEL,318000000,90000,Diesel,Unknown,Jakarta Selatan,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-2011-2016-1-5-g-at-diesel-616516,oto
2021 Toyota Kijang Innova V A/T Diesel,395000000,12345,Diesel,Otomatis,Jakarta Pusat,7,2393 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-v-at-diesel-616102,oto
2016 Honda Mobilio RS CVT,135000000,12345,Bensin,Cvt,Jakarta Pusat,7,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-rs-cvt-616127,oto
2022 Toyota Veloz CVT,269000000,15000,Bensin,Cvt,Jakarta Utara,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-veloz-cvt-610363,oto
2016 Mitsubishi Pajero Sport  Dakar 4x2 AT,410000000,40000,Diesel,Otomatis,Surabaya,7,2442 CC,https://www.oto.com/detail-mobil-bekas/mitsubishi-pajero-sport-2016-2020-dakar-4x2-at-615642,oto
2020 Toyota Agya 1.2L G A/T,135000000,13000,Bensin,Otomatis,Semarang,5,1197 CC,https://www.oto.com/detail-mobil-bekas/toyota-agya-1-2l-g-at-615249,oto
2020 Honda Brio Satya E CVT,159000000,50000,Bensin,Cvt,Semarang,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-cvt-614259,oto
2018 Honda Brio Satya E CVT,135000000,70000,Bensin,Cvt,Semarang,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-cvt-614258,oto
2017 Honda Jazz  GK5 1.5 RS CVT,209000000,50000,Bensin,Unknown,Semarang,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-jazz-2014-2018-gk5-1-5-rs-cvt-ckd-614202,oto
2022 Toyota Fortuner 4x2 2.8 GR Sport AT DSL,485000000,30912,Diesel,Otomatis,Jakarta Utara,7,2755 CC,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-4x2-2-8-gr-sport-at-dsl-636813,oto
2022 Toyota Fortuner 4x2 2.8 GR Sport AT DSL,490000000,22012,Diesel,Otomatis,Jakarta Utara,7,2755 CC,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-4x2-2-8-gr-sport-at-dsl-636814,oto
2023 Toyota Fortuner 4x2 2.8 GR Sport AT DSL,535000000,5000,Diesel,Otomatis,Jakarta Utara,7,2755 CC,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-4x2-2-8-gr-sport-at-dsl-635479,oto
2022 Honda CR-V  2.0L,510000000,15000,Bensin,Cvt,Jakarta Utara,5,1997 CC,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2018-2022-2-0l-634598,oto
