Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link
2012 Daihatsu Xenia 1.3 R STD MPV Antik KM 45 Rb,89000000.0,37500.0,Pertamax,N/A,Jakarta Pusat,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-r-std-dki-jakarta-senen/14961211
"2009 Toyota Avanza 1,5 S MPV",88000000.0,238000.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/toyota-avanza-s-banten-pamulang/14988775
2005 Toyota Camry 2.4 G Sedan TDP MULAI 5 JUTA DAN GARANSI MESIN TRANSMISI,85000000.0,252500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/toyota-camry-g-dki-jakarta-kemayoran/14988753
2016 Daihatsu Ayla 1.0 X Hatchback#Dpminim#aylamurah#,82000000.0,62500.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-jawa-barat-bojong-gede/14853092
1984 Chevrolet Trooper SUV,85000000.0,117500.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/chevrolet-trooper-jawa-barat-bogor-kota/14916453
2017 Daihatsu Ayla 1.0 X Hatchback,80000000.0,22500.0,Pertamax,N/A,Jakarta Barat,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-tangerang/14988273
2022 Wuling Confero 1.5 Wagon WULING CONFERO DB 2022 MT SILVER KM 28 RB,89500000.0,27500.0,Pertamax,N/A,Tangerang,8.0,N/A,https://www.mobil123.com/dijual/wuling-confero-banten-gading-serpong/14720804
2009 Toyota Yaris 1.5 J Hatchback#Tdp 9jt#pajak panjang,87000000.0,157500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/toyota-yaris-j-banten-jatake/14825050
2022 Wuling Confero 1.5 Wagon PROMO HARGA PALING MURAH,89500000.0,27500.0,Pertamax,N/A,Tangerang,8.0,N/A,https://www.mobil123.com/dijual/wuling-confero-banten-batu-ceper/14670933
2015 Daihatsu Gran Max 1.5 BOX Single Cab Pick-up Liat pasti cocok,90000000.0,297500.0,Pertamax,N/A,Surabaya,3.0,N/A,https://www.mobil123.com/dijual/daihatsu-gran-max-box-single-cab-jawa-timur-gununganyar/14987803
2013 Chevrolet Spin 1.5 LTZ SUV,90000000.0,137500.0,Pertamax,N/A,Jakarta Pusat,7.0,N/A,https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-gambir/14987532
2010 Toyota Yaris 1.5 S Hatchback,80000000.0,207500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/toyota-yaris-s-dki-jakarta-glodok/14987511
